customer_id,product_id,product_category,price,quantity,rating,review_count,purchase_date
1102,10004,Electronics,178.1,1,1.9,3715,2024-01-01 00:00:00.000000000
1435,10032,Beauty,388.45,4,2.4,1301,2024-01-01 17:32:15.135135135
1860,10064,Home,332.38,2,2.5,2155,2024-01-02 11:04:30.270270270
1270,10017,Beauty,96.67,2,1.3,692,2024-01-03 04:36:45.405405405
1106,10095,Electronics,91.18,3,2.5,4350,2024-01-03 22:09:00.540540540
1071,10048,Beauty,53.71,4,2.9,1478,2024-01-04 15:41:15.675675675
1700,10010,Clothing,331.85,1,3.9,256,2024-01-05 09:13:30.810810810
1020,10084,Books,383.36,2,3.6,2430,2024-01-06 02:45:45.945945945
1614,10025,Home,136.2,4,3.8,441,2024-01-06 20:18:01.081081081
1121,10062,Sports,15.37,2,1.0,1881,2024-01-07 13:50:16.216216216
1466,10088,Books,45.67,4,1.9,2646,2024-01-08 07:22:31.351351351
1214,10085,Beauty,484.09,4,3.6,3820,2024-01-09 00:54:46.486486486
1330,10058,Home,151.25,3,2.9,4677,2024-01-09 18:27:01.621621621
1458,10026,Beauty,385.77,2,1.0,1735,2024-01-10 11:59:16.756756756
1087,10048,Clothing,314.21,1,4.2,3735,2024-01-11 05:31:31.891891891
1372,10076,Electronics,194.06,3,4.1,2645,2024-01-11 23:03:47.027027027
1099,10032,Home,106.82,3,3.2,18,2024-01-12 16:36:02.162162162
1871,10097,Clothing,65.09,1,1.3,1124,2024-01-13 10:08:17.297297297
1663,10098,Clothing,309.43,3,4.1,3985,2024-01-14 03:40:32.432432432
1130,10000,Home,388.44,4,3.3,2654,2024-01-14 21:12:47.567567567
1661,10020,Beauty,323.73,4,4.1,2080,2024-01-15 14:45:02.702702702
1308,10054,Sports,267.5,2,4.0,1547,2024-01-16 08:17:17.837837837
1769,10005,Clothing,25.77,2,4.2,861,2024-01-17 01:49:32.972972973
1343,10091,Books,484.4,1,3.1,154,2024-01-17 19:21:48.108108108
1491,10080,Clothing,400.36,2,1.6,3494,2024-01-18 12:54:03.243243243
1413,10068,Sports,149.95,4,3.7,904,2024-01-19 06:26:18.378378378
1805,10094,Beauty,490.09,1,3.5,1269,2024-01-19 23:58:33.513513513
1385,10004,Beauty,302.93,1,4.0,404,2024-01-20 17:30:48.648648648
